debugDO3XYU:debug5QN1VO,initialized,0,,1651073823055
debugDO3XYU:debug5QN1VO,window_resize,0,"[1024, 767]",1651073823055
debugDO3XYU:debug5QN1VO,focus,94731,off,1651073917786
debugDO3XYU:debug5QN1VO,focus,5728,on,1651073923514
debugDO3XYU:debug5QN1VO,focus,922,off,1651073924436
debugDO3XYU:debug5QN1VO,focus,17685,on,1651073942121
debugDO3XYU:debug5QN1VO,focus,2120,off,1651073944241
debugDO3XYU:debug5QN1VO,focus,8100,on,1651073952341
debugDO3XYU:debug5QN1VO,focus,1175,off,1651073953516
debugDO3XYU:debug5QN1VO,focus,959,on,1651073954475
debug0FST30:debugBMCGJY,initialized,0,,1651154149682
debug0FST30:debugBMCGJY,window_resize,0,"[1024, 767]",1651154149682
debug0FST30:debugBMCGJY,focus,53758,off,1651154203440
debug0FST30:debugBMCGJY,focus,4132,on,1651154207572
debug0FST30:debugBMCGJY,focus,20922,off,1651154228494
debug0FST30:debugBMCGJY,focus,9357,on,1651154237851
debug0FST30:debugBMCGJY,focus,1373,off,1651154239224
debug0FST30:debugBMCGJY,focus,9871,on,1651154249095
debug0FST30:debugBMCGJY,focus,895,off,1651154249990
debug0FST30:debugBMCGJY,focus,35829,on,1651154285819
debugRUUS0G:debugQNJ5BE,initialized,0,,1651155252995
debugRUUS0G:debugQNJ5BE,window_resize,0,"[1024, 767]",1651155252995
debugHHL3NR:debugFFWFZL,initialized,0,,1651170893730
debugHHL3NR:debugFFWFZL,window_resize,0,"[1024, 767]",1651170893730
debugS3RAUT:debugHFDSYU,initialized,0,,1651170945318
debugS3RAUT:debugHFDSYU,window_resize,0,"[1024, 767]",1651170945318
debugS3RAUT:debugHFDSYU,focus,440336,off,1651171385654
debugS3RAUT:debugHFDSYU,focus,4670,on,1651171390324
debugS3RAUT:debugHFDSYU,focus,1537,off,1651171391861
debugS3RAUT:debugHFDSYU,focus,14905,on,1651171406766
debugVBXYR7:debug6ARTEH,initialized,0,,1651215298867
debugVBXYR7:debug6ARTEH,window_resize,0,"[1024, 767]",1651215298867
